Category: All categories

Month,har houston: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,36
2004-07,0
2004-08,0
2004-09,29
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,32
2005-03,0
2005-04,25
2005-05,36
2005-06,23
2005-07,0
2005-08,89
2005-09,0
2005-10,23
2005-11,24
2005-12,23
2006-01,38
2006-02,37
2006-03,26
2006-04,27
2006-05,42
2006-06,37
2006-07,36
2006-08,47
2006-09,38
2006-10,69
2006-11,42
2006-12,34
2007-01,63
2007-02,33
2007-03,48
2007-04,53
2007-05,73
2007-06,56
2007-07,57
2007-08,31
2007-09,41
2007-10,31
2007-11,40
2007-12,27
2008-01,37
2008-02,33
2008-03,33
2008-04,85
2008-05,48
2008-06,52
2008-07,40
2008-08,42
2008-09,36
2008-10,34
2008-11,33
2008-12,32
2009-01,47
2009-02,40
2009-03,49
2009-04,49
2009-05,46
2009-06,51
2009-07,47
2009-08,45
2009-09,43
2009-10,36
2009-11,38
2009-12,36
2010-01,41
2010-02,51
2010-03,49
2010-04,49
2010-05,46
2010-06,49
2010-07,42
2010-08,47
2010-09,43
2010-10,45
2010-11,34
2010-12,43
2011-01,73
2011-02,68
2011-03,90
2011-04,84
2011-05,85
2011-06,76
2011-07,74
2011-08,75
2011-09,56
2011-10,68
2011-11,49
2011-12,56
2012-01,68
2012-02,74
2012-03,70
2012-04,82
2012-05,81
2012-06,79
2012-07,97
2012-08,86
2012-09,82
2012-10,72
2012-11,62
2012-12,62
2013-01,91
2013-02,95
2013-03,93
2013-04,85
2013-05,99
2013-06,100
2013-07,91
2013-08,91
2013-09,75
2013-10,72
2013-11,63
2013-12,55
2014-01,81
2014-02,75
2014-03,75
2014-04,91
2014-05,81
2014-06,84
2014-07,75
2014-08,69
2014-09,50
2014-10,53
2014-11,54
2014-12,44
2015-01,58
2015-02,58
2015-03,56
2015-04,61
2015-05,58
2015-06,61
2015-07,63
2015-08,55
2015-09,46
2015-10,43
2015-11,35
2015-12,35
2016-01,59
2016-02,57
2016-03,54
2016-04,59
2016-05,53
2016-06,55
2016-07,57
2016-08,42
2016-09,45
2016-10,41
2016-11,36
2016-12,37
2017-01,44
2017-02,44
2017-03,46
2017-04,46
2017-05,47
2017-06,49
2017-07,48
2017-08,43
2017-09,47
2017-10,36
2017-11,36
2017-12,32
2018-01,39
2018-02,38
2018-03,40
2018-04,51
2018-05,45
2018-06,45
2018-07,47
2018-08,41
2018-09,36
2018-10,37
2018-11,30
2018-12,30
2019-01,34
2019-02,39
2019-03,40
2019-04,40
2019-05,45
2019-06,48
2019-07,44
2019-08,42
2019-09,39
2019-10,35
2019-11,31
2019-12,29
2020-01,38
2020-02,41
2020-03,38
2020-04,36
2020-05,48
2020-06,50
2020-07,44
2020-08,41
2020-09,38
2020-10,44
2020-11,34
2020-12,33
2021-01,38
2021-02,43
2021-03,44
2021-04,52
2021-05,44
2021-06,45
2021-07,45
2021-08,43
2021-09,38
2021-10,38
2021-11,32
2021-12,35
2022-01,49
2022-02,45
2022-03,47
2022-04,43
2022-05,43
2022-06,41
2022-07,43
2022-08,43
2022-09,37
2022-10,31
2022-11,29
2022-12,31
2023-01,38
2023-02,38
2023-03,34
2023-04,36
2023-05,37
2023-06,33
2023-07,35
2023-08,30
2023-09,27
2023-10,30
2023-11,24
2023-12,24
2024-01,33
2024-02,34
2024-03,0
