Category: All categories

Month,houses for sale houston: (United States)
2004-01,0
2004-02,0
2004-03,52
2004-04,0
2004-05,31
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,31
2005-01,0
2005-02,30
2005-03,33
2005-04,62
2005-05,0
2005-06,34
2005-07,0
2005-08,20
2005-09,46
2005-10,17
2005-11,0
2005-12,16
2006-01,23
2006-02,25
2006-03,23
2006-04,29
2006-05,29
2006-06,29
2006-07,29
2006-08,31
2006-09,25
2006-10,30
2006-11,13
2006-12,17
2007-01,29
2007-02,16
2007-03,30
2007-04,16
2007-05,26
2007-06,30
2007-07,31
2007-08,21
2007-09,14
2007-10,22
2007-11,25
2007-12,14
2008-01,23
2008-02,27
2008-03,17
2008-04,33
2008-05,19
2008-06,23
2008-07,25
2008-08,30
2008-09,21
2008-10,20
2008-11,20
2008-12,29
2009-01,32
2009-02,25
2009-03,37
2009-04,34
2009-05,29
2009-06,23
2009-07,24
2009-08,28
2009-09,33
2009-10,21
2009-11,19
2009-12,23
2010-01,33
2010-02,30
2010-03,32
2010-04,28
2010-05,30
2010-06,31
2010-07,25
2010-08,25
2010-09,23
2010-10,28
2010-11,24
2010-12,21
2011-01,43
2011-02,37
2011-03,45
2011-04,47
2011-05,50
2011-06,45
2011-07,47
2011-08,45
2011-09,38
2011-10,35
2011-11,36
2011-12,42
2012-01,53
2012-02,65
2012-03,54
2012-04,51
2012-05,55
2012-06,53
2012-07,54
2012-08,55
2012-09,49
2012-10,46
2012-11,41
2012-12,42
2013-01,54
2013-02,61
2013-03,62
2013-04,62
2013-05,65
2013-06,39
2013-07,41
2013-08,43
2013-09,34
2013-10,42
2013-11,41
2013-12,43
2014-01,62
2014-02,45
2014-03,52
2014-04,40
2014-05,45
2014-06,47
2014-07,38
2014-08,39
2014-09,36
2014-10,43
2014-11,42
2014-12,45
2015-01,59
2015-02,57
2015-03,68
2015-04,64
2015-05,62
2015-06,70
2015-07,62
2015-08,68
2015-09,52
2015-10,53
2015-11,50
2015-12,59
2016-01,74
2016-02,67
2016-03,70
2016-04,72
2016-05,77
2016-06,66
2016-07,71
2016-08,59
2016-09,60
2016-10,58
2016-11,56
2016-12,52
2017-01,73
2017-02,68
2017-03,63
2017-04,70
2017-05,70
2017-06,69
2017-07,71
2017-08,77
2017-09,54
2017-10,57
2017-11,50
2017-12,57
2018-01,68
2018-02,64
2018-03,73
2018-04,70
2018-05,72
2018-06,76
2018-07,88
2018-08,67
2018-09,73
2018-10,66
2018-11,64
2018-12,60
2019-01,74
2019-02,79
2019-03,80
2019-04,80
2019-05,79
2019-06,83
2019-07,73
2019-08,62
2019-09,68
2019-10,59
2019-11,56
2019-12,59
2020-01,82
2020-02,71
2020-03,65
2020-04,79
2020-05,94
2020-06,100
2020-07,95
2020-08,86
2020-09,81
2020-10,78
2020-11,76
2020-12,76
2021-01,93
2021-02,99
2021-03,93
2021-04,97
2021-05,86
2021-06,96
2021-07,96
2021-08,88
2021-09,81
2021-10,78
2021-11,83
2021-12,83
2022-01,92
2022-02,90
2022-03,94
2022-04,86
2022-05,77
2022-06,73
2022-07,85
2022-08,77
2022-09,66
2022-10,63
2022-11,56
2022-12,58
2023-01,65
2023-02,71
2023-03,66
2023-04,69
2023-05,66
2023-06,68
2023-07,70
2023-08,57
2023-09,55
2023-10,53
2023-11,53
2023-12,55
2024-01,65
2024-02,65
2024-03,0
