Category: All categories

Month,houston home prices: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,100
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,42
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,35
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,30
2007-06,0
2007-07,0
2007-08,22
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,35
2008-05,0
2008-06,0
2008-07,18
2008-08,0
2008-09,21
2008-10,15
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,23
2009-07,0
2009-08,0
2009-09,16
2009-10,0
2009-11,0
2009-12,17
2010-01,15
2010-02,13
2010-03,25
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,14
2010-09,0
2010-10,0
2010-11,17
2010-12,11
2011-01,16
2011-02,13
2011-03,16
2011-04,0
2011-05,18
2011-06,18
2011-07,11
2011-08,14
2011-09,21
2011-10,10
2011-11,0
2011-12,0
2012-01,10
2012-02,19
2012-03,12
2012-04,10
2012-05,12
2012-06,0
2012-07,13
2012-08,10
2012-09,8
2012-10,8
2012-11,6
2012-12,0
2013-01,7
2013-02,15
2013-03,10
2013-04,8
2013-05,14
2013-06,22
2013-07,0
2013-08,8
2013-09,10
2013-10,13
2013-11,0
2013-12,8
2014-01,12
2014-02,9
2014-03,11
2014-04,12
2014-05,15
2014-06,14
2014-07,8
2014-08,0
2014-09,15
2014-10,13
2014-11,7
2014-12,9
2015-01,16
2015-02,9
2015-03,21
2015-04,8
2015-05,7
2015-06,8
2015-07,15
2015-08,16
2015-09,12
2015-10,7
2015-11,7
2015-12,9
2016-01,15
2016-02,11
2016-03,14
2016-04,18
2016-05,14
2016-06,14
2016-07,10
2016-08,0
2016-09,7
2016-10,7
2016-11,0
2016-12,7
2017-01,9
2017-02,9
2017-03,8
2017-04,8
2017-05,8
2017-06,14
2017-07,11
2017-08,21
2017-09,15
2017-10,12
2017-11,8
2017-12,12
2018-01,19
2018-02,9
2018-03,9
2018-04,10
2018-05,11
2018-06,11
2018-07,13
2018-08,4
2018-09,12
2018-10,11
2018-11,8
2018-12,8
2019-01,10
2019-02,10
2019-03,0
2019-04,7
2019-05,4
2019-06,10
2019-07,6
2019-08,6
2019-09,4
2019-10,8
2019-11,7
2019-12,4
2020-01,5
2020-02,0
2020-03,7
2020-04,9
2020-05,6
2020-06,7
2020-07,5
2020-08,5
2020-09,7
2020-10,7
2020-11,5
2020-12,7
2021-01,0
2021-02,5
2021-03,9
2021-04,10
2021-05,8
2021-06,7
2021-07,10
2021-08,0
2021-09,6
2021-10,6
2021-11,7
2021-12,4
2022-01,0
2022-02,10
2022-03,12
2022-04,9
2022-05,15
2022-06,13
2022-07,11
2022-08,24
2022-09,6
2022-10,8
2022-11,9
2022-12,9
2023-01,9
2023-02,15
2023-03,10
2023-04,11
2023-05,10
2023-06,7
2023-07,5
2023-08,8
2023-09,4
2023-10,7
2023-11,7
2023-12,11
2024-01,6
2024-02,10
2024-03,0
