Category: All categories

Month,houston real estate: (United States)
2004-01,81
2004-02,75
2004-03,69
2004-04,96
2004-05,66
2004-06,80
2004-07,87
2004-08,78
2004-09,72
2004-10,71
2004-11,54
2004-12,61
2005-01,81
2005-02,74
2005-03,78
2005-04,83
2005-05,80
2005-06,84
2005-07,85
2005-08,100
2005-09,66
2005-10,67
2005-11,64
2005-12,51
2006-01,80
2006-02,72
2006-03,74
2006-04,73
2006-05,67
2006-06,79
2006-07,75
2006-08,80
2006-09,67
2006-10,61
2006-11,62
2006-12,54
2007-01,75
2007-02,68
2007-03,67
2007-04,70
2007-05,75
2007-06,75
2007-07,70
2007-08,57
2007-09,45
2007-10,50
2007-11,48
2007-12,43
2008-01,56
2008-02,53
2008-03,47
2008-04,54
2008-05,49
2008-06,46
2008-07,50
2008-08,45
2008-09,39
2008-10,36
2008-11,34
2008-12,29
2009-01,40
2009-02,46
2009-03,36
2009-04,41
2009-05,41
2009-06,36
2009-07,45
2009-08,42
2009-09,34
2009-10,36
2009-11,33
2009-12,29
2010-01,32
2010-02,33
2010-03,36
2010-04,34
2010-05,32
2010-06,38
2010-07,34
2010-08,32
2010-09,29
2010-10,25
2010-11,24
2010-12,26
2011-01,39
2011-02,34
2011-03,34
2011-04,34
2011-05,36
2011-06,36
2011-07,36
2011-08,36
2011-09,28
2011-10,29
2011-11,26
2011-12,27
2012-01,33
2012-02,41
2012-03,33
2012-04,33
2012-05,32
2012-06,31
2012-07,34
2012-08,31
2012-09,27
2012-10,26
2012-11,25
2012-12,24
2013-01,33
2013-02,32
2013-03,34
2013-04,29
2013-05,30
2013-06,33
2013-07,35
2013-08,30
2013-09,26
2013-10,25
2013-11,24
2013-12,23
2014-01,33
2014-02,31
2014-03,28
2014-04,29
2014-05,30
2014-06,29
2014-07,32
2014-08,29
2014-09,26
2014-10,23
2014-11,21
2014-12,19
2015-01,30
2015-02,27
2015-03,26
2015-04,25
2015-05,26
2015-06,26
2015-07,26
2015-08,25
2015-09,24
2015-10,22
2015-11,21
2015-12,20
2016-01,30
2016-02,28
2016-03,28
2016-04,30
2016-05,27
2016-06,24
2016-07,25
2016-08,25
2016-09,22
2016-10,22
2016-11,20
2016-12,20
2017-01,26
2017-02,24
2017-03,24
2017-04,26
2017-05,23
2017-06,22
2017-07,24
2017-08,27
2017-09,26
2017-10,21
2017-11,16
2017-12,18
2018-01,21
2018-02,22
2018-03,20
2018-04,20
2018-05,22
2018-06,23
2018-07,21
2018-08,22
2018-09,20
2018-10,18
2018-11,18
2018-12,17
2019-01,20
2019-02,21
2019-03,20
2019-04,21
2019-05,19
2019-06,19
2019-07,21
2019-08,19
2019-09,20
2019-10,18
2019-11,16
2019-12,16
2020-01,19
2020-02,20
2020-03,16
2020-04,16
2020-05,19
2020-06,20
2020-07,19
2020-08,20
2020-09,18
2020-10,18
2020-11,16
2020-12,19
2021-01,18
2021-02,18
2021-03,18
2021-04,20
2021-05,20
2021-06,20
2021-07,18
2021-08,18
2021-09,18
2021-10,18
2021-11,17
2021-12,16
2022-01,20
2022-02,22
2022-03,19
2022-04,19
2022-05,17
2022-06,18
2022-07,20
2022-08,18
2022-09,16
2022-10,16
2022-11,14
2022-12,14
2023-01,18
2023-02,16
2023-03,16
2023-04,48
2023-05,16
2023-06,15
2023-07,18
2023-08,15
2023-09,15
2023-10,14
2023-11,14
2023-12,13
2024-01,16
2024-02,15
2024-03,0
