Category: All categories

Month,houston realtor: (United States)
2004-01,47
2004-02,65
2004-03,86
2004-04,59
2004-05,100
2004-06,0
2004-07,75
2004-08,28
2004-09,58
2004-10,0
2004-11,0
2004-12,41
2005-01,36
2005-02,35
2005-03,52
2005-04,36
2005-05,38
2005-06,56
2005-07,53
2005-08,41
2005-09,56
2005-10,16
2005-11,30
2005-12,31
2006-01,38
2006-02,44
2006-03,43
2006-04,50
2006-05,36
2006-06,48
2006-07,51
2006-08,49
2006-09,42
2006-10,41
2006-11,40
2006-12,33
2007-01,36
2007-02,38
2007-03,40
2007-04,41
2007-05,47
2007-06,44
2007-07,43
2007-08,43
2007-09,26
2007-10,32
2007-11,20
2007-12,25
2008-01,30
2008-02,22
2008-03,32
2008-04,36
2008-05,29
2008-06,31
2008-07,34
2008-08,28
2008-09,16
2008-10,19
2008-11,26
2008-12,18
2009-01,23
2009-02,25
2009-03,26
2009-04,23
2009-05,27
2009-06,23
2009-07,27
2009-08,25
2009-09,16
2009-10,23
2009-11,20
2009-12,16
2010-01,21
2010-02,27
2010-03,27
2010-04,18
2010-05,26
2010-06,25
2010-07,23
2010-08,17
2010-09,15
2010-10,24
2010-11,17
2010-12,21
2011-01,32
2011-02,31
2011-03,35
2011-04,31
2011-05,34
2011-06,34
2011-07,32
2011-08,34
2011-09,34
2011-10,32
2011-11,26
2011-12,27
2012-01,37
2012-02,38
2012-03,32
2012-04,33
2012-05,29
2012-06,29
2012-07,33
2012-08,31
2012-09,27
2012-10,22
2012-11,21
2012-12,20
2013-01,35
2013-02,28
2013-03,28
2013-04,27
2013-05,29
2013-06,32
2013-07,30
2013-08,31
2013-09,25
2013-10,28
2013-11,26
2013-12,21
2014-01,28
2014-02,28
2014-03,33
2014-04,36
2014-05,33
2014-06,34
2014-07,34
2014-08,34
2014-09,28
2014-10,25
2014-11,22
2014-12,21
2015-01,30
2015-02,29
2015-03,27
2015-04,33
2015-05,35
2015-06,32
2015-07,32
2015-08,31
2015-09,27
2015-10,25
2015-11,21
2015-12,20
2016-01,30
2016-02,33
2016-03,38
2016-04,34
2016-05,37
2016-06,36
2016-07,30
2016-08,32
2016-09,29
2016-10,25
2016-11,26
2016-12,23
2017-01,29
2017-02,30
2017-03,31
2017-04,30
2017-05,31
2017-06,33
2017-07,33
2017-08,36
2017-09,48
2017-10,23
2017-11,22
2017-12,25
2018-01,26
2018-02,26
2018-03,28
2018-04,28
2018-05,27
2018-06,29
2018-07,28
2018-08,26
2018-09,29
2018-10,27
2018-11,23
2018-12,23
2019-01,30
2019-02,28
2019-03,29
2019-04,27
2019-05,29
2019-06,27
2019-07,29
2019-08,29
2019-09,25
2019-10,26
2019-11,22
2019-12,19
2020-01,30
2020-02,27
2020-03,21
2020-04,25
2020-05,26
2020-06,35
2020-07,29
2020-08,28
2020-09,27
2020-10,26
2020-11,24
2020-12,32
2021-01,26
2021-02,27
2021-03,34
2021-04,32
2021-05,30
2021-06,34
2021-07,33
2021-08,32
2021-09,27
2021-10,28
2021-11,26
2021-12,24
2022-01,37
2022-02,35
2022-03,33
2022-04,35
2022-05,31
2022-06,30
2022-07,32
2022-08,35
2022-09,29
2022-10,28
2022-11,23
2022-12,26
2023-01,31
2023-02,28
2023-03,29
2023-04,30
2023-05,31
2023-06,31
2023-07,26
2023-08,27
2023-09,25
2023-10,23
2023-11,22
2023-12,25
2024-01,27
2024-02,28
2024-03,0
