DATE,M2SL
1/1/1959,286.6
2/1/1959,287.7
3/1/1959,289.2
4/1/1959,290.1
5/1/1959,292.2
6/1/1959,294.1
7/1/1959,295.2
8/1/1959,296.4
9/1/1959,296.7
10/1/1959,296.5
11/1/1959,297.1
12/1/1959,297.8
1/1/1960,298.2
2/1/1960,298.4
3/1/1960,299.3
4/1/1960,300.1
5/1/1960,300.9
6/1/1960,302.3
7/1/1960,304.1
8/1/1960,306.9
9/1/1960,308.4
10/1/1960,309.5
11/1/1960,310.9
12/1/1960,312.4
1/1/1961,314.1
2/1/1961,316.5
3/1/1961,318.3
4/1/1961,319.9
5/1/1961,322.2
6/1/1961,324.3
7/1/1961,325.6
8/1/1961,327.6
9/1/1961,329.5
10/1/1961,331.1
11/1/1961,333.4
12/1/1961,335.5
1/1/1962,337.5
2/1/1962,340.1
3/1/1962,343.1
4/1/1962,345.5
5/1/1962,347.5
6/1/1962,349.3
7/1/1962,350.8
8/1/1962,352.8
9/1/1962,354.9
10/1/1962,357.2
11/1/1962,359.8
12/1/1962,362.7
1/1/1963,365.2
2/1/1963,367.9
3/1/1963,370.7
4/1/1963,373.3
5/1/1963,376.1
6/1/1963,378.4
7/1/1963,381.1
8/1/1963,383.6
9/1/1963,386
10/1/1963,388.3
11/1/1963,391.5
12/1/1963,393.2
1/1/1964,395.2
2/1/1964,397.6
3/1/1964,399.8
4/1/1964,401.7
5/1/1964,404.2
6/1/1964,407.1
7/1/1964,410.1
8/1/1964,413.4
9/1/1964,416.9
10/1/1964,419.1
11/1/1964,422
12/1/1964,424.7
1/1/1965,427.5
2/1/1965,430.4
3/1/1965,433.2
4/1/1965,435.4
5/1/1965,437.1
6/1/1965,440.1
7/1/1965,442.9
8/1/1965,445.8
9/1/1965,449.5
10/1/1965,452.6
11/1/1965,455.7
12/1/1965,459.2
1/1/1966,462
2/1/1966,464.6
3/1/1966,467.2
4/1/1966,469.3
5/1/1966,470.1
6/1/1966,471.2
7/1/1966,470.9
8/1/1966,472.6
9/1/1966,475.4
10/1/1966,475.7
11/1/1966,477.3
12/1/1966,480.2
1/1/1967,481.6
2/1/1967,485.1
3/1/1967,489.7
4/1/1967,492.1
5/1/1967,497.2
6/1/1967,502
7/1/1967,506.3
8/1/1967,510.8
9/1/1967,514.7
10/1/1967,518.2
11/1/1967,521.2
12/1/1967,524.8
1/1/1968,527.4
2/1/1968,530.4
3/1/1968,533.2
4/1/1968,535.7
5/1/1968,538.9
6/1/1968,542.6
7/1/1968,545.6
8/1/1968,549.4
9/1/1968,553.6
10/1/1968,557.6
11/1/1968,562.4
12/1/1968,566.8
1/1/1969,569.3
2/1/1969,571.9
3/1/1969,574.4
4/1/1969,575.7
5/1/1969,576.5
6/1/1969,578.5
7/1/1969,579.5
8/1/1969,580.1
9/1/1969,582.1
10/1/1969,583.4
11/1/1969,585.4
12/1/1969,587.9
1/1/1970,589.6
2/1/1970,586.3
3/1/1970,587.3
4/1/1970,588.4
5/1/1970,591.5
6/1/1970,595.2
7/1/1970,599.1
8/1/1970,604.9
9/1/1970,611.2
10/1/1970,616.4
11/1/1970,621.1
12/1/1970,626.5
1/1/1971,632.9
2/1/1971,641
3/1/1971,649.9
4/1/1971,658.4
5/1/1971,666.7
6/1/1971,673
7/1/1971,679.6
8/1/1971,685.5
9/1/1971,692.5
10/1/1971,698.4
11/1/1971,704.6
12/1/1971,710.3
1/1/1972,717.7
2/1/1972,725.7
3/1/1972,733.5
4/1/1972,738.4
5/1/1972,743.3
6/1/1972,749.7
7/1/1972,759.5
8/1/1972,768.7
9/1/1972,778.3
10/1/1972,786.9
11/1/1972,793.9
12/1/1972,802.3
1/1/1973,810.3
2/1/1973,814.1
3/1/1973,815.3
4/1/1973,819.7
5/1/1973,826.8
6/1/1973,833.3
7/1/1973,836.5
8/1/1973,838.8
9/1/1973,839.3
10/1/1973,842.6
11/1/1973,848.9
12/1/1973,855.5
1/1/1974,859.7
2/1/1974,864.2
3/1/1974,870.1
4/1/1974,872.9
5/1/1974,874.6
6/1/1974,877.8
7/1/1974,881.4
8/1/1974,884.1
9/1/1974,887.9
10/1/1974,893.3
11/1/1974,898.6
12/1/1974,902.1
1/1/1975,906.3
2/1/1975,914.1
3/1/1975,925
4/1/1975,935.1
5/1/1975,947.9
6/1/1975,963
7/1/1975,975.1
8/1/1975,983.1
9/1/1975,991.5
10/1/1975,997.8
11/1/1975,1006.9
12/1/1975,1016.2
1/1/1976,1026.6
2/1/1976,1040.3
3/1/1976,1050
4/1/1976,1060.8
5/1/1976,1072.1
6/1/1976,1077.6
7/1/1976,1086.3
8/1/1976,1098.7
9/1/1976,1110.8
10/1/1976,1125
11/1/1976,1138.2
12/1/1976,1152
1/1/1977,1165.2
2/1/1977,1177.6
3/1/1977,1188.5
4/1/1977,1199.6
5/1/1977,1209
6/1/1977,1217.8
7/1/1977,1226.7
8/1/1977,1237
9/1/1977,1246.2
10/1/1977,1254
11/1/1977,1262.4
12/1/1977,1270.3
1/1/1978,1279.7
2/1/1978,1285.5
3/1/1978,1292.2
4/1/1978,1300.4
5/1/1978,1310.5
6/1/1978,1318.5
7/1/1978,1324.1
8/1/1978,1333.5
9/1/1978,1345
10/1/1978,1352.3
11/1/1978,1359.1
12/1/1978,1366
1/1/1979,1371.6
2/1/1979,1377.8
3/1/1979,1387.8
4/1/1979,1402.1
5/1/1979,1410.2
6/1/1979,1423
7/1/1979,1434.8
8/1/1979,1446.6
9/1/1979,1454.1
10/1/1979,1460.4
11/1/1979,1465.9
12/1/1979,1473.7
1/1/1980,1482.7
2/1/1980,1494.6
3/1/1980,1499.8
4/1/1980,1502.2
5/1/1980,1512.3
6/1/1980,1529.2
7/1/1980,1545.5
8/1/1980,1561.5
9/1/1980,1574
10/1/1980,1584.8
11/1/1980,1595.8
12/1/1980,1599.8
1/1/1981,1606.9
2/1/1981,1618.7
3/1/1981,1636.6
4/1/1981,1659.2
5/1/1981,1664.2
6/1/1981,1670.3
7/1/1981,1681.9
8/1/1981,1694.3
9/1/1981,1706
10/1/1981,1721.8
11/1/1981,1736.1
12/1/1981,1755.5
1/1/1982,1770.4
2/1/1982,1774.5
3/1/1982,1786.5
4/1/1982,1803.9
5/1/1982,1815.4
6/1/1982,1826
7/1/1982,1831.5
8/1/1982,1845.2
9/1/1982,1858.4
10/1/1982,1869.7
11/1/1982,1883.7
12/1/1982,1905.9
1/1/1983,1959.4
2/1/1983,1996.8
3/1/1983,2015.2
4/1/1983,2028.6
5/1/1983,2043.1
6/1/1983,2053.5
7/1/1983,2064.8
8/1/1983,2074
9/1/1983,2083.2
10/1/1983,2099.2
11/1/1983,2112.3
12/1/1983,2123.5
1/1/1984,2138.2
2/1/1984,2158.2
3/1/1984,2175.2
4/1/1984,2191.7
5/1/1984,2204.1
6/1/1984,2215.1
7/1/1984,2223.5
8/1/1984,2230.4
9/1/1984,2244.4
10/1/1984,2258.9
11/1/1984,2281.4
12/1/1984,2306.4
1/1/1985,2332.4
2/1/1985,2354.1
3/1/1985,2366.2
4/1/1985,2375.4
5/1/1985,2389.5
6/1/1985,2412.6
7/1/1985,2429.5
8/1/1985,2444
9/1/1985,2456.4
10/1/1985,2468
11/1/1985,2477.8
12/1/1985,2492.1
1/1/1986,2502.1
2/1/1986,2512.9
3/1/1986,2533.1
4/1/1986,2557.8
5/1/1986,2584.8
6/1/1986,2605
7/1/1986,2626.6
8/1/1986,2646.5
9/1/1986,2667.8
10/1/1986,2687.4
11/1/1986,2701.3
12/1/1986,2728
1/1/1987,2743.9
2/1/1987,2747.5
3/1/1987,2753.7
4/1/1987,2767.7
5/1/1987,2772.9
6/1/1987,2774.6
7/1/1987,2779
8/1/1987,2788.2
9/1/1987,2799.5
10/1/1987,2814.8
11/1/1987,2818.9
12/1/1987,2826.4
1/1/1988,2847.4
2/1/1988,2870.4
3/1/1988,2890.7
4/1/1988,2910.7
5/1/1988,2926
6/1/1988,2938.4
7/1/1988,2947.2
8/1/1988,2952
9/1/1988,2956.9
10/1/1988,2965.3
11/1/1988,2980.2
12/1/1988,2988.2
1/1/1989,2991.7
2/1/1989,2992.2
3/1/1989,2999.7
4/1/1989,3006
5/1/1989,3011.6
6/1/1989,3027.9
7/1/1989,3052.4
8/1/1989,3074.4
9/1/1989,3092.5
10/1/1989,3114.1
